YearOfBirth,ChildsFirstName,TotalBoys,TotalGirls,TotalCount,PercentageBoys,PercentageGirls
2012,Peyton,12,63,75,16.00%,84.00%
2021,Ariel,26,25,51,50.98%,49.02%
2015,Tenzin,27,25,52,51.92%,48.08%
2017,Rowan,16,16,32,50.00%,50.00%
2020,Parker,17,16,33,51.52%,48.48%
2015,Blake,44,16,60,73.33%,26.67%
2017,Charlie,33,16,49,67.35%,32.65%
2017,Ryan,419,16,435,96.32%,3.68%
2014,Angel,204,16,220,92.73%,7.27%
2016,Avery,63,137,200,31.50%,68.50%
2012,Ariel,38,75,113,33.63%,66.37%
2016,Peyton,12,56,68,17.65%,82.35%
2017,Alexis,27,28,55,49.09%,50.91%
2021,Milan,46,28,74,62.16%,37.84%
2019,Eden,28,28,56,50.00%,50.00%
2012,Angel,236,28,264,89.39%,10.61%
2015,Dylan,525,28,553,94.94%,5.06%
2012,Riley,27,73,100,27.00%,73.00%
2014,Avery,46,136,182,25.27%,74.73%
2013,Riley,46,80,126,36.51%,63.49%
2017,Avery,43,131,174,24.71%,75.29%
2015,Ariel,43,71,114,37.72%,62.28%
2015,Alexis,37,22,59,62.71%,37.29%
2019,Parker,24,22,46,52.17%,47.83%
2012,Jordan,158,22,180,87.78%,12.22%
2016,Quinn,24,29,53,45.28%,54.72%
2013,Avery,60,107,167,35.93%,64.07%
2011,Avery,32,52,84,38.10%,61.90%
2011,Riley,32,55,87,36.78%,63.22%
2019,Avery,52,134,186,27.96%,72.04%
2015,Avery,52,144,196,26.53%,73.47%
2012,Avery,44,114,158,27.85%,72.15%
2020,Avery,50,114,164,30.49%,69.51%
2013,Ariel,28,83,111,25.23%,74.77%
2017,Ariel,48,58,106,45.28%,54.72%
2012,Alexis,48,53,101,47.52%,52.48%
2016,Alexis,33,46,79,41.77%,58.23%
2021,Avery,33,109,142,23.24%,76.76%
2018,Avery,57,147,204,27.94%,72.06%
2013,Alexis,42,37,79,53.16%,46.84%
2014,Riley,58,76,134,43.28%,56.72%
2016,Ariel,40,41,81,49.38%,50.62%
2014,Alexis,40,49,89,44.94%,55.06%
2019,Ariel,51,45,96,53.13%,46.88%
